user_id,total_interactions,avg_plays,std_plays,max_plays,total_plays,unique_songs,plays_per_song,diversity_score,user_type
000367d3f60a76a0df88b7c030666ea16bf0546a,24,2.625,3.173429087582239,10,63,24,2.625,1.0,regular
0003978ec4258fb2f490165fcbac83c9b552be56,36,1.6388888888888888,1.2224747213928167,6,59,36,1.6388888888888888,1.0,regular
00189d1bef621d6f03236a1adfeab3206dc47143,41,3.4146341463414633,3.209171308578724,14,140,41,3.4146341463414633,1.0,active
002ebac0897eb77b6864edbf7d79ab6932242d1c,10,1.7,1.3374935098492586,5,17,10,1.7,1.0,regular
0041f08c2615883a0c57242f596f0146546ab220,93,1.5161290322580645,1.4417147340837069,11,141,93,1.5161290322580645,1.0,active
0051921909f4f57f948c73708ab788f40970c7aa,15,1.6666666666666667,1.3451854182690988,6,25,15,1.6666666666666667,1.0,regular
0057e10f388ad214c24c2f772c716c8966d2829f,51,4.03921568627451,3.8727808319796537,15,206,51,4.03921568627451,1.0,active
006530c102a30a7b2634fe110e9d53cbe935b6e4,13,1.2307692307692308,0.43852900965351455,2,16,13,1.2307692307692308,1.0,regular
006bf4b2c63303cad0e5bc968b7af7f0cc33df62,33,3.3636363636363638,4.84650764609284,17,111,33,3.3636363636363638,1.0,active
008ac60ff6650355ab253555d5ff2cbcdd1a9322,18,1.4444444444444444,1.0966377611066325,5,26,18,1.4444444444444444,1.0,regular
00936a263932430e2c4bda549af38c7ff55be27a,12,1.0,0.0,1,12,12,1.0,1.0,regular
009695bc1a0c5d26641a6cdc0a7702cbe5f32836,13,2.923076923076923,2.7827306272059005,9,38,13,2.923076923076923,1.0,regular
00a4057e7de4b50aff43d86c02328bba04649cbf,129,1.310077519379845,0.8081465060209061,5,169,129,1.310077519379845,1.0,active
00a8d279dea692d7badc90f7e1b75f9c530a36e7,81,1.9135802469135803,2.1283651640648826,13,155,81,1.9135802469135803,1.0,active
00bdf053cca87c8506e39716ba676860ffd9deb8,153,2.457516339869281,1.459933885059324,7,376,153,2.457516339869281,1.0,active
00cb9115e0c20f78adcf5265b06341d680564600,15,1.4,1.0555973258234952,5,21,15,1.4,1.0,regular
00cfb72cbf1d9dfc0b0c2956e978c5a7f66206ae,82,1.7560975609756098,2.8698560019356067,26,144,82,1.7560975609756098,1.0,active
00e51df84ef74433cecd7f462dc1122e4c8581ea,133,1.669172932330827,1.6083202441512197,11,222,133,1.669172932330827,1.0,active
00ea2eed2ec98b4d8c0f3d5ec7b1ffc3ca6d628e,59,3.76271186440678,3.5542057799023525,10,222,59,3.76271186440678,1.0,active
01011b2187bac0955c9c60a93e9759df854f5e78,31,1.935483870967742,1.9310702364400203,10,60,31,1.935483870967742,1.0,regular
0110718103d7b5313c60a0783d3e6f9d5f74f4fd,22,8.909090909090908,6.383826967677519,20,196,22,8.909090909090908,1.0,active
01204f3df91ecabe9cd54ff6f4b6dabfdc519930,172,6.488372093023256,9.93339713396032,75,1116,172,6.488372093023256,1.0,active
014bda67d7239e6b983a08a30c5f8276ee75f6cb,76,3.3157894736842106,2.5623454168179043,14,252,76,3.3157894736842106,1.0,active
0153c5a9c9a83f1f1154feacc2c1425660385d48,21,1.9047619047619047,1.3380867649282653,5,40,21,1.9047619047619047,1.0,regular
0176bc918d71a122f00e0be5a9f0ce9115e6fdc1,48,2.7083333333333335,2.7207503137009,12,130,48,2.7083333333333335,1.0,active
017c743df8b56db1f704e749c11495ac3298d177,83,4.927710843373494,5.9423718934653404,23,409,83,4.927710843373494,1.0,active
