song_id,energy,acousticness,danceability,instrumentalness,valence,feature_5,feature_6,feature_7,feature_8,feature_9
S000000,0.0,0.459791747204774,0.6675515710823547,0.011261595522029823,0.7849281113729215,0.6118528947223795,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.45606998421703593
S000001,0.0,0.5781595463813841,0.2576037177629122,0.022173653329542003,0.3920327886382317,0.9093204020787821,0.2587799816000169,0.662522284353982,0.31171107608941095,0.5200680211778108
S000002,0.3339788657059569,0.40324312132287404,0.2485231529941624,0.634452138721502,0.3326615249920569,0.7712703466859457,0.07404465173409036,0.3584657285442726,0.11586905952512971,0.8631034258755935
S000003,0.12106478753392015,0.2740248265510988,0.5618385071755744,0.16729815899810171,0.5180548915572353,0.49379559636439074,0.5227328293819941,0.42754101835854963,0.02541912674409519,0.10789142699330445
S000004,0.002764336786539435,0.33441605264306545,0.497824329801528,0.0797542501675131,0.43298464077629834,0.18657005888603584,0.8925589984899778,0.5393422419156507,0.8074401551640625,0.8960912999234932
S000005,0.002055238022971223,0.2948195819450663,0.6999531212648085,0.03542269155984529,0.5972217003052035,0.9624472949421112,0.25178229582536416,0.49724850589238545,0.30087830981676966,0.2848404943774676
S000006,0.1444275839358989,0.1692216419007832,0.5430881631175547,0.24823971795069347,0.715369007226731,0.7282163486118596,0.3677831327192532,0.6323058305935795,0.6335297107608947,0.5357746840747585
S000007,0.0,0.09929161261172387,0.6437788918365075,0.15631616455917008,0.2887110206704494,0.3410663510502585,0.11347352124058907,0.9246936182785628,0.877339353380981,0.2579416277151556
S000008,0.4649282905740861,0.24669465944915456,0.4774298341376652,0.07737747929669832,0.4394959954170832,0.8985541885270792,0.6064290596595899,0.009197051616629648,0.1014715428660321,0.6635017691080558
S000009,0.16707444341633015,0.2678719547886431,0.31534266562860697,0.08697875131700741,0.7246074602629503,0.26520236768172545,0.24398964337908358,0.9730105547524456,0.3930977246667604,0.8920465551771133
S000010,0.33727269363570184,0.6294328537963132,0.5935762299941545,0.005320793649398067,0.4055169919884224,0.8530094554673601,0.2944488920695857,0.38509772860192526,0.8511366715168569,0.31692200515627766
S000011,0.35904902238123504,0.2994047395096731,0.12142762832454419,0.030526726522347575,0.6234249682996953,0.8093611554785136,0.8101133946791808,0.8670723185801037,0.9132405525564713,0.5113423988609378
S000012,0.5910387257553472,0.3614107746378892,0.5999112122709822,0.09982177710283031,0.5596901430933093,0.5908332605690108,0.03050024993904943,0.03734818874921442,0.8226005606596583,0.3601906414112629
S000013,0.0,0.1845144228594101,0.8693279126068889,0.3248419544655519,0.6013569876716085,0.02535074341545751,0.9626484146779251,0.8359801205122058,0.695974206093698,0.4089529444142699
S000014,0.24778565638895192,0.5162650666153752,0.4846391451813845,0.12923096801674938,0.5747235522124793,0.11607264050691624,0.04600264202175275,0.040728802318970136,0.8554605840110072,0.7036578593800237
S000015,0.0,0.2999683719638652,0.12326354970471043,0.29047825436789054,0.3999818973919445,0.07056874740042984,0.6424192782063156,0.026511310541621813,0.5857755812734633,0.9402302414249576
S000016,0.34600322413986695,0.0835928184718644,0.5534090086816751,0.48600183329610935,0.418565327468314,0.023271935735825866,0.8144684825889358,0.28185477477339993,0.11816482762165625,0.6967371653641506
S000017,0.3442663966312518,0.3051623221309896,0.21021580022205796,0.8720820508926155,0.21918741032020977,0.10312386883593261,0.9025529066795667,0.5052523724478571,0.8264574661077416,0.32004960103061175
S000018,0.335913415775724,0.27905967409184845,0.5866466106218808,0.11004849571545718,0.7547251950059577,0.7896181427945539,0.09120610304869037,0.49442030470258147,0.057558760016644284,0.5495288823237355
S000019,0.0,0.17350435041629506,0.7740931726627827,0.04168352999626288,0.40158543820930553,0.9860010638228709,0.7533781852589416,0.37625958553091576,0.08350071669866876,0.7771469159274368
S000020,0.27429595351579683,0.21902945943054153,0.704521568646208,0.1747786587051201,0.41616740669636154,0.9632225394406113,0.012154474689816341,0.969878826707639,0.04315991195057611,0.8911431136980711
S000021,0.19548634966968126,0.06911274123572567,0.6629916235240543,0.10536551745337898,0.688456176807745,0.2773811829811327,0.1881211597237613,0.46369840493998216,0.3533522280260528,0.5836561118508721
S000022,0.4598935888516754,0.03784389339635996,0.8690579789326132,0.08438244628231963,0.5248052892185527,0.15041689110352818,0.5941307153521351,0.3808908566310215,0.9699143978146032,0.8421189231357087
S000023,0.3342545893006522,0.1608726513640517,0.5647083715531706,0.4874529711613667,0.5719422034594226,0.9540510272587224,0.60617463445088,0.22864280550346272,0.6717006844058567,0.6181282404578958
S000024,0.0,0.15827006343392985,0.574055167393775,0.14067606423041434,0.4045035022785248,0.6203095513534647,0.7040797680992236,0.21296416150891073,0.13637147558676976,0.014544665667881929
S000025,0.37810657644008777,0.5854796411101274,0.4010079100024775,0.47931173394415877,0.4122836474413807,0.980032575285477,0.4926180939928696,0.3287516102875082,0.6334008543167258,0.24014561877819307
S000026,0.0,0.10056710388390835,0.5869776253405211,0.35490970731209676,0.543579981048287,0.12063587110060081,0.46077876803272577,0.2063337184057925,0.36426986104807546,0.5034172708548569
