user_id,song_id,play_count,rating,user_idx,item_idx
U000000,S000521,44,0.8248240703312607,0,521
U000000,S000941,2,0.23804628387473534,0,941
U000000,S000741,13,0.5718284755479183,0,741
U000000,S000980,40,0.8046533244696281,0,980
U000000,S000411,2,0.23804628387473534,0,411
U000000,S000679,84,0.9626295218680472,0,679
U000000,S000673,65,0.9078104735808639,0,673
U000000,S000513,63,0.9011428993421277,0,513
U000000,S000773,73,0.9326008015387676,0,773
U000000,S000136,17,0.6262830509731585,0,136
U000000,S000889,9,0.49892198580547814,0,889
U000000,S000076,75,0.9383792523906672,0,76
U000000,S000739,15,0.6007619328947518,0,739
U000000,S000806,24,0.6974630051635803,0,806
U000000,S000939,38,0.7938171132824736,0,939
U000000,S000900,35,0.7764735341968465,0,900
U000000,S000280,94,0.9867297885250814,0,280
U000000,S000884,95,0.9889986999931751,0,884
U000000,S000572,49,0.8476534883872682,0,572
U000000,S000319,69,0.9205599781297086,0,319
U000000,S000549,62,0.897730560073701,0,549
U000000,S000174,60,0.8907403066013385,0,174
U000000,S000371,50,0.8519443031609923,0,371
U000000,S000527,78,0.9467678767049003,0,527
U000000,S000210,75,0.9383792523906672,0,210
U000000,S000235,9,0.49892198580547814,0,235
U000000,S000101,34,0.7703694949060205,0,101
U000000,S000987,76,0.9412116988066711,0,987
U000000,S000903,99,0.9978439716109563,0,903
U000000,S000767,35,0.7764735341968465,0,767
U000000,S000346,1,0.15019048322368794,0,346
U000000,S000139,40,0.8046533244696281,0,139
U000000,S000622,64,0.9045023319895283,0,622
U000000,S000499,22,0.6793959560724939,0,499
U000000,S000370,60,0.8907403066013385,0,370
U000000,S000198,64,0.9045023319895283,0,198
U000000,S000652,93,0.9844368669660623,0,652
U000000,S000585,72,0.9296527415680409,0,585
U000000,S000863,11,0.5384272503221113,0,863
U000000,S000059,14,0.5867777864565255,0,59
U000000,S000328,60,0.8907403066013385,0,328
U000000,S000096,30,0.7440731378420168,0,96
U000000,S000312,35,0.7764735341968465,0,312
U000001,S000577,50,0.8519443031609923,1,577
U000001,S000733,29,0.7369682696802135,1,733
U000001,S000678,57,0.8798129963733905,1,678
U000001,S000775,39,0.799302952252854,1,775
U000001,S000411,95,0.9889986999931751,1,411
U000001,S000324,56,0.8760445698180267,1,324
U000001,S000100,43,0.8199546729298166,1,100
U000001,S000783,50,0.8519443031609923,1,783
U000001,S000128,23,0.6886177335457992,1,128
U000001,S000211,44,0.8248240703312607,1,211
U000001,S000781,38,0.7938171132824736,1,781
U000001,S000399,84,0.9626295218680472,1,399
U000001,S000082,23,0.6886177335457992,1,82
U000001,S000717,45,0.8295864392961818,1,717
U000001,S000844,52,0.8602791409376933,1,844
U000001,S000066,80,0.9521851354989413,1,66
U000001,S000812,50,0.8519443031609923,1,812
U000001,S000741,8,0.4760925677494707,1,741
U000001,S000567,85,0.9651638088320625,1,567
U000001,S000667,1,0.15019048322368794,1,667
U000001,S000646,8,0.4760925677494707,1,646
U000001,S000042,29,0.7369682696802135,1,42
U000001,S000251,96,0.9912440990023085,1,251
U000001,S000445,5,0.38823676709842325,1,445
U000001,S000720,86,0.9676687970244379,1,720
U000002,S000927,25,0.7059613126314263,2,927
U000002,S000650,20,0.6596842761989657,2,650
U000002,S000876,34,0.7703694949060205,2,876
U000002,S000177,26,0.714138851624206,2,177
U000002,S000760,5,0.38823676709842325,2,760
U000002,S000535,99,0.9978439716109563,2,535
U000002,S000090,61,0.8942636210657048,2,90
U000002,S000033,92,0.9821194217167522,2,33
U000002,S000321,93,0.9844368669660623,2,321
U000002,S000388,9,0.49892198580547814,2,388
U000002,S000495,50,0.8519443031609923,2,495
U000002,S000432,6,0.4216379923242304,2,432
U000002,S000317,83,0.9600652426463416,2,317
U000002,S000973,60,0.8907403066013385,2,973
U000002,S000378,44,0.8248240703312607,2,378
U000002,S000548,11,0.5384272503221113,2,548
U000002,S000338,66,0.9110688667928428,2,338
U000002,S000494,47,0.8388082167694872,2,494
U000002,S000784,73,0.9326008015387676,2,784
U000002,S000174,85,0.9651638088320625,2,174
U000002,S000964,88,0.9725935332246339,2,964
U000002,S000176,98,0.9956662742319112,2,176
U000002,S000590,86,0.9676687970244379,2,590
U000002,S000903,3,0.3003809664473759,2,903
U000002,S000256,76,0.9412116988066711,2,256
U000002,S000958,92,0.9821194217167522,2,958
U000002,S000374,30,0.7440731378420168,2,374
U000002,S000296,90,0.9774088217319686,2,296
U000002,S000214,21,0.6697641897061287,2,214
U000002,S000639,28,0.7296225131497026,2,639
U000002,S000370,90,0.9774088217319686,2,370
U000002,S000984,62,0.897730560073701,2,984
U000002,S000331,33,0.764088502509945,2,331
U000002,S000409,85,0.9651638088320625,2,409
U000002,S000978,35,0.7764735341968465,2,978
U000002,S000061,52,0.8602791409376933,2,61
U000002,S000990,34,0.7703694949060205,2,990
U000002,S000397,41,0.8098747594226537,2,397
U000003,S000710,51,0.8561517958551143,3,710
U000003,S000501,21,0.6697641897061287,3,501
U000003,S000457,99,0.9978439716109563,3,457
U000003,S000629,76,0.9412116988066711,3,629
